url,price,title
https://www.olx.com.pk/item/ps3-games-price-negotiable-IDWg9va.html,"Rs 1,800",Ps3 games price negotiable
https://www.olx.com.pk/item/karachi-bagdadi-IDWg7n2.html,"Rs 5,000",Karachi bagdadi
https://www.olx.com.pk/item/mxgp2-racing-game-ps4-IDWg8TM.html,"Rs 4,800",MXGP2 Racing Game PS4
https://www.olx.com.pk/item/playstation-3-14k-IDWg8W3.html,"Rs 14,000","PlayStation 3 , 14k"
https://www.olx.com.pk/item/bloodborne-for-play-station-4-IDWg8Zx.html,"Rs 2,200",Bloodborne for Play Station 4
https://www.olx.com.pk/item/the-destiny-collection-IDWg8XF.html,"Rs 2,800",The Destiny Collection
https://www.olx.com.pk/item/sony-playstation-2-uk-region-IDWg8JI.html,"Rs 4,000",Sony Playstation 2 UK region
https://www.olx.com.pk/item/barcode-desktop-scanner-2d-speed-x-9200-IDWg8Hh.html,"Rs 17,000",Barcode Desktop Scanner 2D Speed-X 9200
https://www.olx.com.pk/item/xbox-360-modified-with-2wireless-controller-10-10condition-2017updated-IDWg8Nv.html,"Rs 9,500",XBox 360 Modified With 2Wireless Controller 10/10Condition 2017Updated
https://www.olx.com.pk/item/black-nintendo-wii-original-audio-video-cable-IDUYQzA.html,Rs 400,Black nintendo wii original audio video cable
https://www.olx.com.pk/item/sony-playstation-2-uk-region-IDWg8FM.html,"Rs 4,000",Sony Playstation 2 UK Region
https://www.olx.com.pk/item/call-of-duty-advance-warfare-day-zero-edition-ps4-IDWg92a.html,"Rs 2,200",Call of Duty Advance Warfare (Day Zero Edition) PS4
https://www.olx.com.pk/item/xbox-360-microsoft-made-good-condition-and-lens-IDWg93y.html,"Rs 8,000",Xbox 360 microsoft made good condition and lens
https://www.olx.com.pk/item/hd-game-capture-hd-video-capture-1080p-hdmi-ypbpr-IDWg90M.html,"Rs 6,500","HD Game Capture, HD Video Capture, 1080P HDMI/YPbPr"
https://www.olx.com.pk/item/ipad-pro-12-9-inches-with-pro-pen-and-keyboard-IDWfoB6.html,"Rs 75,000",Ipad pro 12.9 inches with pro pen and keyboard
https://www.olx.com.pk/item/thermal-receipt-printer-80mm-in-peshawar-IDWg9DG.html,"Rs 8,500",Thermal Receipt Printer 80mm in Peshawar
https://www.olx.com.pk/item/epson-printer-7890-IDUxe55.html,"Rs 78,000",Epson printer 7890
https://www.olx.com.pk/item/haier-intel-core-m-IDWg9Er.html,"Rs 25,000",Haier Intel core M
https://www.olx.com.pk/item/lg-lcd-17-inch-good-condition-IDW7saN.html,"Rs 2,200",Lg lcd 17 inch good condition
https://www.olx.com.pk/item/rfid-reader-125khz-with-2-year-warranty-and-free-replaceent-IDWg9FE.html,"Rs 4,000",Rfid reader 125khz with 2 year warranty and free replaceent
https://www.olx.com.pk/item/hootoo-9-port-60-watts-usb-3-0-hub-with-2-smart-charging-ports-and-7-d-IDWc7ls.html,"Rs 3,500",HooToo 9-Port 60 Watts USB 3.0 Hub with 2 Smart Charging Ports and 7 D
https://www.olx.com.pk/item/pos-thermal-receipt-printer-in-multan-1-year-warranty-IDWg9Gh.html,"Rs 8,500",POS Thermal Receipt Printer in Multan - 1 Year Warranty
https://www.olx.com.pk/item/hp-cour2dou-IDWg9GH.html,"Rs 12,500",Hp cour2dou
https://www.olx.com.pk/item/hp-probook-450-g1-ci5-4th-gen-4gb-500-15-6-cam-dos-IDWg9H4.html,"Rs 39,000",HP Probook 450 G1 Ci5 4th Gen/4GB /500/15.6/Cam/Dos
https://www.olx.com.pk/item/ptcl-charji-evo-usb-wingle-new-IDW8OAk.html,"Rs 2,000",PTCL CharJi EVO USB Wingle (New)
